Date: 23-08-2014 08:43:49 PM IP: 115.185.204.223 User : cloudstrife Code: Thols Key �, Fixed: Thols Key , Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:49:38 PM IP: 64.39.111.93 User : Not loggedin Code: Mage Gloves#<script>qjsobject.reportDOMXSS()</script>, Fixed: Mage Gloves#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:41 PM IP: 64.39.111.93 User : Not loggedin Code: Archer Gloves#<script>qjsobject.reportDOMXSS()</script>, Fixed: Archer Gloves#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:43 PM IP: 64.39.111.93 User : Not loggedin Code: Warrior Boots#<script>qjsobject.reportDOMXSS()</script>, Fixed: Warrior Boots#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:43 PM IP: 64.39.111.93 User : Not loggedin Code: HK Boots#<script>qjsobject.reportDOMXSS()</script>, Fixed: HK Boots#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:49 PM IP: 64.39.111.93 User : Not loggedin Code: Archer Boots#<script>qjsobject.reportDOMXSS()</script>, Fixed: Archer Boots#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:50 PM IP: 64.39.111.93 User : Not loggedin Code: Mage Boots#<script>qjsobject.reportDOMXSS()</script>, Fixed: Mage Boots#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:54:24 PM IP: 64.39.111.93 User : Not loggedin Code: #<script>qjsobject.reportDOMXSS()</script>, Fixed: #scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting.php
Date: 23-08-2014 09:59:10 PM IP: 64.39.111.93 User : Not loggedin Code: Mage#<script>qjsobject.reportDOMXSS()</script>, Fixed: Mage#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:59:14 PM IP: 64.39.111.93 User : Not loggedin Code: Warrior#<script>qjsobject.reportDOMXSS()</script>, Fixed: Warrior#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:59:19 PM IP: 64.39.111.93 User : Not loggedin Code: Holy Knight#<script>qjsobject.reportDOMXSS()</script>, Fixed: Holy Knight#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:59:25 PM IP: 64.39.111.93 User : Not loggedin Code: Archer#<script>qjsobject.reportDOMXSS()</script>, Fixed: Archer#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:59:31 PM IP: 64.39.111.93 User : Not loggedin Code: Mage Skill#<script>qjsobject.reportDOMXSS()</script>, Fixed: Mage Skill#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:59:38 PM IP: 64.39.111.93 User : Not loggedin Code: Archer Skill#<script>qjsobject.reportDOMXSS()</script>, Fixed: Archer Skill#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:59:48 PM IP: 64.39.111.93 User : Not loggedin Code: RB#<script>qjsobject.reportDOMXSS()</script>, Fixed: RB#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:59:49 PM IP: 64.39.111.93 User : Not loggedin Code: Holy Knight Skill#<script>qjsobject.reportDOMXSS()</script>, Fixed: Holy Knight Skill#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:59:52 PM IP: 64.39.111.93 User : Not loggedin Code: Warrior Skill#<script>qjsobject.reportDOMXSS()</script>, Fixed: Warrior Skill#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:59:55 PM IP: 64.39.111.93 User : Not loggedin Code: Crafting#<script>qjsobject.reportDOMXSS()</script>, Fixed: Crafting#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:01 PM IP: 64.39.111.93 User : Not loggedin Code: Necklace#<script>qjsobject.reportDOMXSS()</script>, Fixed: Necklace#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:02 PM IP: 64.39.111.93 User : Not loggedin Code: Extra#<script>qjsobject.reportDOMXSS()</script>, Fixed: Extra#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:07 PM IP: 64.39.111.93 User : Not loggedin Code: Rings#<script>qjsobject.reportDOMXSS()</script>, Fixed: Rings#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:08 PM IP: 64.39.111.93 User : Not loggedin Code: Daredevil#<script>qjsobject.reportDOMXSS()</script>, Fixed: Daredevil#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:14 PM IP: 64.39.111.93 User : Not loggedin Code: Ecoins#<script>qjsobject.reportDOMXSS()</script>, Fixed: Ecoins#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:16 PM IP: 64.39.111.93 User : Not loggedin Code: Olegario#<script>qjsobject.reportDOMXSS()</script>, Fixed: Olegario#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:24 PM IP: 64.39.111.93 User : Not loggedin Code: Roger#<script>qjsobject.reportDOMXSS()</script>, Fixed: Roger#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:35 PM IP: 64.39.111.93 User : Not loggedin Code: Zenithale#<script>qjsobject.reportDOMXSS()</script>, Fixed: Zenithale#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:40 PM IP: 64.39.111.93 User : Not loggedin Code: Tarzan#<script>qjsobject.reportDOMXSS()</script>, Fixed: Tarzan#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:42 PM IP: 64.39.111.93 User : Not loggedin Code: Humm#<script>qjsobject.reportDOMXSS()</script>, Fixed: Humm#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:47 PM IP: 64.39.111.93 User : Not loggedin Code: Argon#<script>qjsobject.reportDOMXSS()</script>, Fixed: Argon#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:51 PM IP: 64.39.111.93 User : Not loggedin Code: Bubble#<script>qjsobject.reportDOMXSS()</script>, Fixed: Bubble#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:00:55 PM IP: 64.39.111.93 User : Not loggedin Code: Paisa#<script>qjsobject.reportDOMXSS()</script>, Fixed: Paisa#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:00 PM IP: 64.39.111.93 User : Not loggedin Code: Queenarchy#<script>qjsobject.reportDOMXSS()</script>, Fixed: Queenarchy#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:07 PM IP: 64.39.111.93 User : Not loggedin Code: Hawaldaar#<script>qjsobject.reportDOMXSS()</script>, Fixed: Hawaldaar#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:13 PM IP: 64.39.111.93 User : Not loggedin Code: Smallness#<script>qjsobject.reportDOMXSS()</script>, Fixed: Smallness#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:15 PM IP: 64.39.111.93 User : Not loggedin Code: kutty#<script>qjsobject.reportDOMXSS()</script>, Fixed: kutty#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:21 PM IP: 64.39.111.93 User : Not loggedin Code: Persephone#<script>qjsobject.reportDOMXSS()</script>, Fixed: Persephone#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:27 PM IP: 64.39.111.93 User : Not loggedin Code: Killarz#<script>qjsobject.reportDOMXSS()</script>, Fixed: Killarz#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:29 PM IP: 64.39.111.93 User : Not loggedin Code: Unbeatable#<script>qjsobject.reportDOMXSS()</script>, Fixed: Unbeatable#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:33 PM IP: 64.39.111.93 User : Not loggedin Code: Zxcadsadas#<script>qjsobject.reportDOMXSS()</script>, Fixed: Zxcadsadas#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:34 PM IP: 64.39.111.93 User : Not loggedin Code: Devilseye#<script>qjsobject.reportDOMXSS()</script>, Fixed: Devilseye#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:38 PM IP: 64.39.111.93 User : Not loggedin Code: Cruzomix#<script>qjsobject.reportDOMXSS()</script>, Fixed: Cruzomix#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:39 PM IP: 64.39.111.93 User : Not loggedin Code: Extreme#<script>qjsobject.reportDOMXSS()</script>, Fixed: Extreme#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:43 PM IP: 64.39.111.93 User : Not loggedin Code: Blaze#<script>qjsobject.reportDOMXSS()</script>, Fixed: Blaze#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:01:50 PM IP: 64.39.111.93 User : Not loggedin Code: Lucy#<script>qjsobject.reportDOMXSS()</script>, Fixed: Lucy#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:02:09 PM IP: 64.39.111.93 User : Not loggedin Code: #<script>qjsobject.reportDOMXSS()</script>, Fixed: #scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:57:57 PM IP: 64.39.111.93 User : Not loggedin Code: GoD#<script>qjsobject.reportDOMXSS()</script>, Fixed: GoD#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:57:58 PM IP: 64.39.111.93 User : Not loggedin Code: Shankz#<script>qjsobject.reportDOMXSS()</script>, Fixed: Shankz#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:06 PM IP: 64.39.111.93 User : Not loggedin Code: Chikaro#<script>qjsobject.reportDOMXSS()</script>, Fixed: Chikaro#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:14 PM IP: 64.39.111.93 User : Not loggedin Code: Dragonqueen#<script>qjsobject.reportDOMXSS()</script>, Fixed: Dragonqueen#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:15 PM IP: 64.39.111.93 User : Not loggedin Code: Kitty#<script>qjsobject.reportDOMXSS()</script>, Fixed: Kitty#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:23 PM IP: 64.39.111.93 User : Not loggedin Code: Euston#<script>qjsobject.reportDOMXSS()</script>, Fixed: Euston#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:28 PM IP: 64.39.111.93 User : Not loggedin Code: NightFox#<script>qjsobject.reportDOMXSS()</script>, Fixed: NightFox#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:32 PM IP: 64.39.111.93 User : Not loggedin Code: ChoteNawab#<script>qjsobject.reportDOMXSS()</script>, Fixed: ChoteNawab#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:35 PM IP: 64.39.111.93 User : Not loggedin Code: Monica#<script>qjsobject.reportDOMXSS()</script>, Fixed: Monica#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:41 PM IP: 64.39.111.93 User : Not loggedin Code: appi#<script>qjsobject.reportDOMXSS()</script>, Fixed: appi#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:45 PM IP: 64.39.111.93 User : Not loggedin Code: back#<script>qjsobject.reportDOMXSS()</script>, Fixed: back#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:53 PM IP: 64.39.111.93 User : Not loggedin Code: Evil#<script>qjsobject.reportDOMXSS()</script>, Fixed: Evil#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:54 PM IP: 64.39.111.93 User : Not loggedin Code: LittleStar#<script>qjsobject.reportDOMXSS()</script>, Fixed: LittleStar#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:58:58 PM IP: 64.39.111.93 User : Not loggedin Code: Leonardus#<script>qjsobject.reportDOMXSS()</script>, Fixed: Leonardus#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:59:01 PM IP: 64.39.111.93 User : Not loggedin Code: Manglu#<script>qjsobject.reportDOMXSS()</script>, Fixed: Manglu#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:59:06 PM IP: 64.39.111.93 User : Not loggedin Code: Ravinoob#<script>qjsobject.reportDOMXSS()</script>, Fixed: Ravinoob#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:59:15 PM IP: 64.39.111.93 User : Not loggedin Code: Stab#<script>qjsobject.reportDOMXSS()</script>, Fixed: Stab#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:59:19 PM IP: 64.39.111.93 User : Not loggedin Code: LastShadow#<script>qjsobject.reportDOMXSS()</script>, Fixed: LastShadow#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:59:22 PM IP: 64.39.111.93 User : Not loggedin Code: arrowie#<script>qjsobject.reportDOMXSS()</script>, Fixed: arrowie#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:59:35 PM IP: 64.39.111.93 User : Not loggedin Code: JackkY#<script>qjsobject.reportDOMXSS()</script>, Fixed: JackkY#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:59:35 PM IP: 64.39.111.93 User : Not loggedin Code: Eveready#<script>qjsobject.reportDOMXSS()</script>, Fixed: Eveready#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:59:38 PM IP: 64.39.111.93 User : Not loggedin Code: ArcherBugler#<script>qjsobject.reportDOMXSS()</script>, Fixed: ArcherBugler#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:59:47 PM IP: 64.39.111.93 User : Not loggedin Code: Roguerulzz#<script>qjsobject.reportDOMXSS()</script>, Fixed: Roguerulzz#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:59:57 PM IP: 64.39.111.93 User : Not loggedin Code: Commador#<script>qjsobject.reportDOMXSS()</script>, Fixed: Commador#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 10:59:59 PM IP: 64.39.111.93 User : Not loggedin Code: FrozenX#<script>qjsobject.reportDOMXSS()</script>, Fixed: FrozenX#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 11:00:04 PM IP: 64.39.111.93 User : Not loggedin Code: Rockerz#<script>qjsobject.reportDOMXSS()</script>, Fixed: Rockerz#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 11:00:12 PM IP: 64.39.111.93 User : Not loggedin Code: Aassddff#<script>qjsobject.reportDOMXSS()</script>, Fixed: Aassddff#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
